Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-002	236	1	καὶ	relation	AuxY	COORD
0085-002	236	1	καὶ	head	11	0
0085-002	236	7	δὴ	relation	AuxY	AuxZ
0085-002	236	11	[0]	relation	PRED	PRED_CO
0085-002	236	11	[0]	head	0	1
0085-002	237	1	καὶ	postag	d--------	c--------
0085-002	237	1	καὶ	relation	AuxY	COORD
0085-002	237	1	καὶ	head	3	0
0085-002	237	3	πρὸς	head	0	1
0085-002	237	4	τούτοισιν	head	3	7
0085-002	237	7	[0]	relation	PRED	PRED_CO
0085-002	237	7	[0]	head	0	3
0085-002	242	7	ὑπήκοοι	lemma	ὑπήκοος	ὑπήκους	y
0085-002	234	3	γένοιτ’	postag	v3saom---	v3sao----	y
0085-002	239	1	πότερα	lemma	πότερον	πότερος	y
0085-002	239	1	πότερα	postag	d--------	a-p---na-	y
0085-002	239	5	διὰ	postag	r--------	d--------	y
0085-002	232	1	τῆλε	relation	ADV	OBJ	y
0085-002	232	2	πρὸς	relation	AuxP	AuxC	y
0085-002	232	2	πρὸς	head	8	0	y
0085-002	232	3	δυσμαῖς	relation	ADV	OBJ	y
0085-002	232	3	δυσμαῖς	head	2	8	y
0085-002	247-248	8	,	relation	AuxX	AuxY	y
0085-002	244	1	ὥστε	postag	c--------	d--------	y
0085-002	244	1	ὥστε	head	10	0	y
0085-002	244	7	φθεῖραι	head	1	10	y
0085-002	244	10	[0]	head	0	1	y
0085-002	235	2	τις	postag	p-s---cn-	p-s---fn-
0085-002	254-255	1	ὅμως	postag	d--------	c--------	y
0085-002	254-255	1	ὅμως	head	10	2	y
0085-002	254-255	2	δ’	head	10	0	y
0085-002	254-255	8	Πέρσαι	lemma	Πέρσης	πέρσης	y
0085-002	254-255	10	[0]	relation	PRED	PRED_CO	y
0085-002	254-255	10	[0]	head	0	2	y
0085-002	253	4	μὲν	head	9	0
0085-002	249-252	16	ἐν	relation	AuxP	AuxC	y
0085-002	249-252	17	μιᾷ	postag	m-s---fd-	a-s---fd-
0085-002	256-257	7	.	form	.	·.	y
0085-002	256-257	7	.	postag	u--------	---------	y
